dataset,model,fraction,n_train_samples,accuracy,macro_f1,roc_auc,pr_auc,f1,rmse,mae,r2,best_optuna_params
covertype,xgboost,1.0,464809,0.9658,0.9389,,,,,,,"{'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.19490547751129034, 'subsample': 0.9724175643707942, 'colsample_bytree': 0.9614225169369287, 'min_child_weight': 4, 'reg_alpha': 1.860304792851494e-05, 'reg_lambda': 0.0001735439294056368}"
covertype,xgboost,0.5,232404,0.9529,0.9187,,,,,,,"{'n_estimators': 800, 'max_depth': 10, 'learning_rate': 0.10937006691052982, 'subsample': 0.9807881051590785, 'colsample_bytree': 0.7154370694889002, 'min_child_weight': 1, 'reg_alpha': 8.16971999620728e-06, 'reg_lambda': 2.052502781023321e-06}"
covertype,xgboost,0.1,46480,0.8904,0.8173,,,,,,,"{'n_estimators': 400, 'max_depth': 10, 'learning_rate': 0.15242565881909667, 'subsample': 0.9336448012886246, 'colsample_bytree': 0.9862840970601741, 'min_child_weight': 4, 'reg_alpha': 0.19019420524864644, 'reg_lambda': 3.3679799988423474e-06}"
covertype,xgboost,0.08,37184,0.8739,0.804,,,,,,,"{'n_estimators': 900, 'max_depth': 8, 'learning_rate': 0.06145673315937632, 'subsample': 0.7320515732448373, 'colsample_bytree': 0.7820452081770496, 'min_child_weight': 1, 'reg_alpha': 0.04144576894561321, 'reg_lambda': 0.0009056356504078932}"
covertype,xgboost,0.06,27888,0.8645,0.7822,,,,,,,"{'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.03451715553356602, 'subsample': 0.9549666035693936, 'colsample_bytree': 0.6816368056858421, 'min_child_weight': 3, 'reg_alpha': 4.89414008543441e-06, 'reg_lambda': 5.0753582100376175e-05}"
covertype,xgboost,0.04,18592,0.8312,0.7411,,,,,,,"{'n_estimators': 900, 'max_depth': 6, 'learning_rate': 0.04866552459642657, 'subsample': 0.687439240871687, 'colsample_bytree': 0.9907578926781236, 'min_child_weight': 1, 'reg_alpha': 1.8215980626509385e-06, 'reg_lambda': 0.19008709900697346}"
covertype,xgboost,0.02,9296,0.7971,0.67,,,,,,,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.26690431824362526, 'subsample': 0.9233589392465844, 'colsample_bytree': 0.7218455076693483, 'min_child_weight': 1, 'reg_alpha': 0.014391207615728067, 'reg_lambda': 9.148975058772307e-05}"
covertype,xgboost,0.01,4648,0.7641,0.6249,,,,,,,"{'n_estimators': 900, 'max_depth': 5, 'learning_rate': 0.042564917633779675, 'subsample': 0.6154275325047179, 'colsample_bytree': 0.9096379884659167, 'min_child_weight': 1, 'reg_alpha': 0.0076002727905340435, 'reg_lambda': 0.00023124692333282497}"
adult_income,xgboost,1.0,39073,,,0.9317,0.8363,0.7128,,,,"{'n_estimators': 900, 'max_depth': 6, 'learning_rate': 0.025544148532512145, 'subsample': 0.9383923344247063, 'colsample_bytree': 0.8165350948844625, 'min_child_weight': 1, 'reg_alpha': 0.15153466780639063, 'reg_lambda': 0.5813118663063052}"
adult_income,xgboost,0.5,19536,,,0.9292,0.829,0.7185,,,,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.039639420820871, 'subsample': 0.7607890298133686, 'colsample_bytree': 0.6883226535671542, 'min_child_weight': 1, 'reg_alpha': 2.770731190526345e-05, 'reg_lambda': 7.216248472106911e-06}"
