dataset,model,fraction,n_train_samples,accuracy,macro_f1,roc_auc,pr_auc,f1,rmse,mae,r2,best_optuna_params
covertype,xgboost,1.0,464809,0.968,0.9424,,,,,,,"{'n_estimators': 800, 'max_depth': 9, 'learning_rate': 0.16451758748495973, 'subsample': 0.8586531539408169, 'colsample_bytree': 0.8160380080454375, 'min_child_weight': 4, 'reg_alpha': 2.1219899323605756e-08, 'reg_lambda': 0.004273107517906329}"
covertype,xgboost,0.5,232404,0.953,0.9234,,,,,,,"{'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'min_child_weight': 2, 'reg_alpha': 3.3323645788192616e-08, 'reg_lambda': 0.6245760287469893}"
covertype,xgboost,0.1,46480,0.9017,0.8382,,,,,,,"{'n_estimators': 400, 'max_depth': 10, 'learning_rate': 0.15242565881909667, 'subsample': 0.9336448012886246, 'colsample_bytree': 0.9862840970601741, 'min_child_weight': 4, 'reg_alpha': 0.19019420524864644, 'reg_lambda': 3.3679799988423474e-06}"
covertype,xgboost,0.01,4648,0.7746,0.6389,,,,,,,"{'n_estimators': 900, 'max_depth': 5, 'learning_rate': 0.042564917633779675, 'subsample': 0.6154275325047179, 'colsample_bytree': 0.9096379884659167, 'min_child_weight': 1, 'reg_alpha': 0.0076002727905340435, 'reg_lambda': 0.00023124692333282497}"
adult_income,xgboost,1.0,39073,,,0.932,0.8378,0.7209,,,,"{'n_estimators': 900, 'max_depth': 6, 'learning_rate': 0.025544148532512145, 'subsample': 0.9383923344247063, 'colsample_bytree': 0.8165350948844625, 'min_child_weight': 1, 'reg_alpha': 0.15153466780639063, 'reg_lambda': 0.5813118663063052}"
adult_income,xgboost,0.5,19536,,,0.9291,0.8295,0.7106,,,,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.039639420820871, 'subsample': 0.7607890298133686, 'colsample_bytree': 0.6883226535671542, 'min_child_weight': 1, 'reg_alpha': 2.770731190526345e-05, 'reg_lambda': 7.216248472106911e-06}"
adult_income,xgboost,0.1,3907,,,0.9136,0.8005,0.6983,,,,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.03255339668097139, 'subsample': 0.7526136433995549, 'colsample_bytree': 0.766524390521558, 'min_child_weight': 3, 'reg_alpha': 1.7667744914296844e-05, 'reg_lambda': 0.00012865258303931313}"
adult_income,xgboost,0.01,390,,,0.8713,0.6907,0.6228,,,,"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.037502178281013425, 'subsample': 0.6014562981232444, 'colsample_bytree': 0.7901892341369223, 'min_child_weight': 5, 'reg_alpha': 9.419108943767382, 'reg_lambda': 2.5678109448295868e-08}"
california_housing,xgboost,1.0,16512,,,,,,0.4405,0.287,0.8519,"{'n_estimators': 600, 'max_depth': 9, 'learning_rate': 0.041855817435431215, 'subsample': 0.6205296154349298, 'colsample_bytree': 0.6592831408142682, 'min_child_weight': 3, 'reg_alpha': 1.7300880506119318e-06, 'reg_lambda': 2.703489179171874}"
california_housing,xgboost,0.5,8256,,,,,,0.4589,0.3001,0.8393,"{'n_estimators': 700, 'max_depth': 9, 'learning_rate': 0.03918276721947891, 'subsample': 0.963558924788465, 'colsample_bytree': 0.6806518077881214, 'min_child_weight': 6, 'reg_alpha': 0.009011214260263585, 'reg_lambda': 0.5569993335766786}"
california_housing,xgboost,0.1,1651,,,,,,0.555,0.3805,0.7649,"{'n_estimators': 900, 'max_depth': 9, 'learning_rate': 0.09092520756144737, 'subsample': 0.62977067547043, 'colsample_bytree': 0.7068065827898746, 'min_child_weight': 5, 'reg_alpha': 5.707825091220742e-07, 'reg_lambda': 0.3403402464575216}"
california_housing,xgboost,0.01,165,,,,,,0.6998,0.5239,0.6263,"{'n_estimators': 500, 'max_depth': 9, 'learning_rate': 0.038104937138678116, 'subsample': 0.7344622484052011, 'colsample_bytree': 0.6130931135589778, 'min_child_weight': 2, 'reg_alpha': 3.032983873519083e-08, 'reg_lambda': 1.9820901527121237}"
